'Time and date','ABPmean','ABPsys','ABPdias','HR','PULSE','RESP','SpO2','classe'
["'[02:17:59 22/10/1994]'", 75.0, 103.0, 62.0, 133.0, 134.0, 10.0, 98.0, 'Normal']
["'[02:18:00 22/10/1994]'", 76.0, 103.0, 62.0, 133.0, 134.0, 11.0, 98.0, 'Normal']
["'[02:18:01 22/10/1994]'", 75.0, 102.0, 62.0, 132.0, 134.0, 11.0, 98.0, 'Normal']
["'[02:18:02 22/10/1994]'", 74.0, 101.0, 61.0, 132.0, 134.0, 11.0, 98.0, 'Normal']
["'[02:18:03 22/10/1994]'", 74.0, 101.0, 61.0, 132.0, 134.0, 11.0, 98.0, 'Normal']
["'[02:18:04 22/10/1994]'", 75.0, 102.0, 61.0, 132.0, 134.0, 11.0, 98.0, 'Normal']
["'[02:18:05 22/10/1994]'", 74.0, 101.0, 61.0, 132.0, 134.0, 11.0, 98.0, 'Normal']
["'[02:18:06 22/10/1994]'", 74.0, 101.0, 61.0, 132.0, 134.0, 11.0, 98.0, 'Normal']
["'[02:18:07 22/10/1994]'", 73.0, 100.0, 61.0, 132.0, 133.0, 11.0, 98.0, 'Normal']
["'[02:18:08 22/10/1994]'", 74.0, 101.0, 60.0, 132.0, 133.0, 11.0, 98.0, 'Normal']
["'[02:18:09 22/10/1994]'", 74.0, 102.0, 61.0, 132.0, 133.0, 11.0, 98.0, 'Normal']
["'[02:18:10 22/10/1994]'", 74.0, 101.0, 61.0, 132.0, 130.0, 10.0, 98.0, 'Normal']
["'[02:18:11 22/10/1994]'", 73.0, 100.0, 60.0, 133.0, 130.0, 10.0, 98.0, 'Normal']
["'[02:18:12 22/10/1994]'", 73.0, 100.0, 60.0, 133.0, 130.0, 10.0, 98.0, 'Normal']
["'[02:18:13 22/10/1994]'", 74.0, 101.0, 61.0, 133.0, 126.0, 10.0, 98.0, 'Normal']
["'[02:18:14 22/10/1994]'", 74.0, 101.0, 61.0, 133.0, 124.0, 10.0, 97.0, 'Normal']
["'[02:18:15 22/10/1994]'", 74.0, 100.0, 61.0, 133.0, 124.0, 10.0, 97.0, 'Normal']
["'[02:18:16 22/10/1994]'", 73.0, 100.0, 61.0, 133.0, 121.0, 10.0, 97.0, 'Normal']
["'[02:18:17 22/10/1994]'", 74.0, 100.0, 61.0, 133.0, 121.0, 10.0, 97.0, 'Normal']
["'[02:18:18 22/10/1994]'", 74.0, 101.0, 61.0, 133.0, 121.0, 10.0, 97.0, 'Normal']
["'[02:18:19 22/10/1994]'", 74.0, 101.0, 61.0, 133.0, 120.0, 10.0, 97.0, 'Normal']
["'[02:18:20 22/10/1994]'", 74.0, 100.0, 61.0, 133.0, 120.0, 10.0, 97.0, 'Normal']
["'[02:18:21 22/10/1994]'", 74.0, 100.0, 61.0, 133.0, 120.0, 10.0, 97.0, 'Normal']
["'[02:18:22 22/10/1994]'", 75.0, 102.0, 62.0, 133.0, 120.0, 10.0, 97.0, 'Normal']
["'[02:18:23 22/10/1994]'", 75.0, 102.0, 62.0, 133.0, 120.0, 11.0, 97.0, 'Normal']
["'[02:18:24 22/10/1994]'", 74.0, 101.0, 62.0, 133.0, 120.0, 11.0, 97.0, 'Normal']
["'[02:18:25 22/10/1994]'", 74.0, 100.0, 61.0, 134.0, 120.0, 11.0, 97.0, 'Normal']
["'[02:18:26 22/10/1994]'", 75.0, 102.0, 62.0, 134.0, 120.0, 11.0, 97.0, 'Normal']
["'[02:18:27 22/10/1994]'", 75.0, 101.0, 62.0, 135.0, 119.0, 13.0, 97.0, 'Normal']
["'[02:18:28 22/10/1994]'", 75.0, 101.0, 62.0, 135.0, 119.0, 13.0, 97.0, 'Normal']
["'[02:18:29 22/10/1994]'", 75.0, 101.0, 62.0, 135.0, 117.0, 13.0, 97.0, 'Normal']
["'[02:18:30 22/10/1994]'", 75.0, 102.0, 62.0, 135.0, 117.0, 13.0, 97.0, 'Normal']
["'[02:18:31 22/10/1994]'", 76.0, 103.0, 63.0, 136.0, 117.0, 13.0, 97.0, 'Normal']
["'[02:18:32 22/10/1994]'", 76.0, 102.0, 63.0, 136.0, 112.0, 13.0, 97.0, 'Normal']
["'[02:18:33 22/10/1994]'", 75.0, 101.0, 62.0, 137.0, 109.0, 13.0, 97.0, 'Normal']
["'[02:18:34 22/10/1994]'", 74.0, 101.0, 62.0, 137.0, 109.0, 13.0, 97.0, 'Normal']
["'[02:18:35 22/10/1994]'", 76.0, 103.0, 62.0, 137.0, 109.0, 13.0, 97.0, 'Normal']
["'[02:18:36 22/10/1994]'", 75.0, 102.0, 62.0, 137.0, 113.0, 13.0, 97.0, 'Normal']
["'[02:18:37 22/10/1994]'", 74.0, 101.0, 62.0, 136.0, 116.0, 13.0, 97.0, 'Normal']
["'[02:18:38 22/10/1994]'", 74.0, 101.0, 62.0, 136.0, 122.0, 13.0, 97.0, 'Normal']
["'[02:18:40 22/10/1994]'", 75.0, 101.0, 61.0, 136.0, 122.0, 13.0, 97.0, 'Normal']
["'[02:18:41 22/10/1994]'", 75.0, 102.0, 62.0, 136.0, 122.0, 13.0, 97.0, 'Normal']
["'[02:18:42 22/10/1994]'", 75.0, 102.0, 62.0, 136.0, 123.0, 13.0, 97.0, 'Normal']
["'[02:18:43 22/10/1994]'", 75.0, 101.0, 62.0, 136.0, 123.0, 13.0, 97.0, 'Normal']
["'[02:18:44 22/10/1994]'", 75.0, 101.0, 62.0, 136.0, 123.0, 13.0, 97.0, 'Normal']
["'[02:18:45 22/10/1994]'", 76.0, 102.0, 62.0, 136.0, 122.0, 13.0, 97.0, 'Normal']
["'[02:18:46 22/10/1994]'", 75.0, 102.0, 62.0, 135.0, 122.0, 13.0, 97.0, 'Normal']
["'[02:18:47 22/10/1994]'", 74.0, 101.0, 62.0, 135.0, 123.0, 13.0, 97.0, 'Normal']
["'[02:18:48 22/10/1994]'", 74.0, 100.0, 61.0, 135.0, 123.0, 13.0, 97.0, 'Normal']
["'[02:18:49 22/10/1994]'", 75.0, 101.0, 61.0, 135.0, 123.0, 13.0, 97.0, 'Normal']
["'[02:18:50 22/10/1994]'", 75.0, 101.0, 62.0, 135.0, 123.0, 12.0, 97.0, 'Normal']
["'[02:18:51 22/10/1994]'", 74.0, 101.0, 62.0, 135.0, 123.0, 12.0, 97.0, 'Normal']
["'[02:18:52 22/10/1994]'", 73.0, 100.0, 61.0, 134.0, 124.0, 12.0, 97.0, 'Normal']
["'[02:18:53 22/10/1994]'", 74.0, 100.0, 61.0, 134.0, 124.0, 12.0, 97.0, 'Normal']
["'[02:18:54 22/10/1994]'", 75.0, 101.0, 62.0, 134.0, 124.0, 12.0, 97.0, 'Normal']
["'[02:18:55 22/10/1994]'", 74.0, 100.0, 61.0, 134.0, 124.0, 12.0, 97.0, 'Normal']
["'[02:18:56 22/10/1994]'", 74.0, 100.0, 61.0, 134.0, 124.0, 12.0, 97.0, 'Normal']
["'[02:18:57 22/10/1994]'", 73.0, 99.0, 61.0, 134.0, 127.0, 12.0, 97.0, 'Normal']
["'[02:18:58 22/10/1994]'", 74.0, 101.0, 61.0, 134.0, 127.0, 12.0, 97.0, 'Normal']
["'[02:18:59 22/10/1994]'", 74.0, 101.0, 61.0, 133.0, 127.0, 11.0, 97.0, 'Normal']
["'[02:19:00 22/10/1994]'", 74.0, 100.0, 61.0, 133.0, 127.0, 11.0, 97.0, 'Normal']
["'[02:19:01 22/10/1994]'", 73.0, 100.0, 61.0, 133.0, 127.0, 11.0, 97.0, 'Normal']
["'[02:19:02 22/10/1994]'", 74.0, 101.0, 61.0, 133.0, 127.0, 11.0, 97.0, 'Normal']
["'[02:19:03 22/10/1994]'", 73.0, 100.0, 61.0, 133.0, 127.0, 11.0, 97.0, 'Normal']
["'[02:19:04 22/10/1994]'", 73.0, 99.0, 60.0, 133.0, 127.0, 11.0, 97.0, 'Normal']
["'[02:19:05 22/10/1994]'", 73.0, 99.0, 60.0, 133.0, 127.0, 11.0, 97.0, 'Normal']
["'[02:19:06 22/10/1994]'", 74.0, 100.0, 60.0, 133.0, 126.0, 11.0, 97.0, 'Normal']
["'[02:19:07 22/10/1994]'", 74.0, 101.0, 61.0, 132.0, 126.0, 11.0, 97.0, 'Normal']
["'[02:19:08 22/10/1994]'", 73.0, 100.0, 61.0, 132.0, 125.0, 11.0, 97.0, 'Normal']
["'[02:19:09 22/10/1994]'", 73.0, 100.0, 60.0, 132.0, 125.0, 11.0, 97.0, 'Normal']
["'[02:19:10 22/10/1994]'", 74.0, 101.0, 61.0, 132.0, 125.0, 11.0, 97.0, 'Normal']
["'[02:19:11 22/10/1994]'", 73.0, 100.0, 61.0, 132.0, 125.0, 11.0, 97.0, 'Normal']
["'[02:19:12 22/10/1994]'", 73.0, 99.0, 60.0, 132.0, 125.0, 11.0, 97.0, 'Normal']
["'[02:19:13 22/10/1994]'", 73.0, 99.0, 60.0, 132.0, 122.0, 11.0, 97.0, 'Normal']
["'[02:19:14 22/10/1994]'", 73.0, 99.0, 60.0, 132.0, 122.0, 11.0, 97.0, 'Normal']
["'[02:19:15 22/10/1994]'", 74.0, 101.0, 61.0, 132.0, 122.0, 11.0, 97.0, 'Normal']
["'[02:19:16 22/10/1994]'", 74.0, 100.0, 61.0, 132.0, 122.0, 11.0, 97.0, 'Normal']
["'[02:19:17 22/10/1994]'", 73.0, 99.0, 61.0, 133.0, 120.0, 11.0, 97.0, 'Normal']
["'[02:19:18 22/10/1994]'", 73.0, 99.0, 60.0, 133.0, 120.0, 10.0, 97.0, 'Normal']
["'[02:19:19 22/10/1994]'", 73.0, 99.0, 60.0, 134.0, 124.0, 9.0, 97.0, 'Normal']
["'[02:19:20 22/10/1994]'", 74.0, 100.0, 61.0, 134.0, 125.0, 11.0, 97.0, 'Normal']
["'[02:19:21 22/10/1994]'", 73.0, 99.0, 61.0, 134.0, 125.0, 10.0, 97.0, 'Normal']
["'[02:19:23 22/10/1994]'", 73.0, 99.0, 61.0, 135.0, 125.0, 10.0, 97.0, 'Normal']
["'[02:19:24 22/10/1994]'", 73.0, 99.0, 60.0, 135.0, 125.0, 10.0, 97.0, 'Normal']
["'[02:19:25 22/10/1994]'", 73.0, 100.0, 61.0, 135.0, 128.0, 10.0, 97.0, 'Normal']
["'[02:19:26 22/10/1994]'", 74.0, 100.0, 61.0, 136.0, 128.0, 10.0, 97.0, 'Normal']
["'[02:19:27 22/10/1994]'", 74.0, 100.0, 61.0, 136.0, 128.0, 10.0, 97.0, 'Normal']
["'[02:19:28 22/10/1994]'", 74.0, 99.0, 61.0, 136.0, 128.0, 10.0, 97.0, 'Normal']
["'[02:19:29 22/10/1994]'", 74.0, 99.0, 61.0, 136.0, 128.0, 10.0, 97.0, 'Normal']
["'[02:19:30 22/10/1994]'", 75.0, 101.0, 62.0, 136.0, 128.0, 10.0, 97.0, 'Normal']
["'[02:19:31 22/10/1994]'", 75.0, 102.0, 63.0, 136.0, 126.0, 10.0, 97.0, 'Normal']
["'[02:19:32 22/10/1994]'", 75.0, 101.0, 62.0, 137.0, 126.0, 10.0, 97.0, 'Normal']
["'[02:19:33 22/10/1994]'", 75.0, 101.0, 62.0, 137.0, 124.0, 10.0, 97.0, 'Normal']
["'[02:19:34 22/10/1994]'", 75.0, 101.0, 62.0, 137.0, 124.0, 10.0, 97.0, 'Normal']
["'[02:19:35 22/10/1994]'", 76.0, 102.0, 62.0, 137.0, 124.0, 10.0, 97.0, 'Normal']
["'[02:19:36 22/10/1994]'", 76.0, 102.0, 63.0, 138.0, 127.0, 8.0, 97.0, 'Normal']
["'[02:19:37 22/10/1994]'", 75.0, 102.0, 62.0, 138.0, 127.0, 8.0, 97.0, 'Normal']
["'[02:19:38 22/10/1994]'", 75.0, 101.0, 62.0, 138.0, 127.0, 8.0, 97.0, 'Normal']
["'[02:19:39 22/10/1994]'", 75.0, 101.0, 62.0, 138.0, 127.0, 8.0, 97.0, 'Normal']
["'[02:19:40 22/10/1994]'", 75.0, 102.0, 61.0, 137.0, 127.0, 8.0, 97.0, 'Normal']
["'[02:19:41 22/10/1994]'", 76.0, 103.0, 62.0, 137.0, 127.0, 8.0, 97.0, 'Normal']
["'[02:19:42 22/10/1994]'", 75.0, 102.0, 62.0, 137.0, 127.0, 8.0, 97.0, 'Normal']
["'[02:19:43 22/10/1994]'", 75.0, 101.0, 62.0, 137.0, 127.0, 8.0, 97.0, 'Normal']
["'[02:19:44 22/10/1994]'", 74.0, 101.0, 61.0, 137.0, 127.0, 8.0, 97.0, 'Normal']
["'[02:19:45 22/10/1994]'", 76.0, 102.0, 62.0, 137.0, 127.0, 8.0, 97.0, 'Normal']
["'[02:19:46 22/10/1994]'", 75.0, 102.0, 62.0, 137.0, 127.0, 9.0, 97.0, 'Normal']
["'[02:19:47 22/10/1994]'", 75.0, 101.0, 62.0, 137.0, 117.0, 9.0, 97.0, 'Normal']
["'[02:19:48 22/10/1994]'", 74.0, 101.0, 61.0, 137.0, 114.0, 9.0, 97.0, 'Normal']
["'[02:19:49 22/10/1994]'", 74.0, 101.0, 61.0, 137.0, 114.0, 9.0, 97.0, 'Normal']
["'[02:19:50 22/10/1994]'", 75.0, 103.0, 62.0, 137.0, 114.0, 9.0, 97.0, 'Normal']
["'[02:19:51 22/10/1994]'", 75.0, 102.0, 63.0, 137.0, 102.0, 9.0, 97.0, 'Normal']
["'[02:19:52 22/10/1994]'", 75.0, 102.0, 62.0, 137.0, 102.0, 9.0, 97.0, 'Normal']
["'[02:19:53 22/10/1994]'", 74.0, 101.0, 62.0, 137.0, 108.0, 9.0, 97.0, 'Normal']
["'[02:19:54 22/10/1994]'", 74.0, 101.0, 62.0, 137.0, 108.0, 9.0, 97.0, 'Normal']
["'[02:19:55 22/10/1994]'", 75.0, 102.0, 62.0, 136.0, 108.0, 9.0, 97.0, 'Normal']
["'[02:19:56 22/10/1994]'", 75.0, 102.0, 63.0, 136.0, 110.0, 9.0, 97.0, 'Normal']
["'[02:19:57 22/10/1994]'", 75.0, 101.0, 62.0, 136.0, 117.0, 9.0, 97.0, 'Normal']
["'[02:19:58 22/10/1994]'", 74.0, 101.0, 62.0, 136.0, 117.0, 9.0, 97.0, 'Normal']
["'[02:19:59 22/10/1994]'", 74.0, 101.0, 62.0, 135.0, 117.0, 9.0, 97.0, 'Normal']
["'[02:20:00 22/10/1994]'", 75.0, 102.0, 62.0, 135.0, 119.0, 9.0, 97.0, 'Normal']
["'[02:20:01 22/10/1994]'", 76.0, 103.0, 62.0, 134.0, 119.0, 9.0, 97.0, 'Normal']
["'[02:20:02 22/10/1994]'", 75.0, 102.0, 63.0, 134.0, 123.0, 8.0, 97.0, 'Normal']
["'[02:20:03 22/10/1994]'", 75.0, 102.0, 62.0, 134.0, 123.0, 8.0, 97.0, 'Normal']
["'[02:20:04 22/10/1994]'", 75.0, 103.0, 62.0, 134.0, 123.0, 8.0, 97.0, 'Normal']
["'[02:20:06 22/10/1994]'", 76.0, 104.0, 63.0, 134.0, 123.0, 8.0, 97.0, 'Normal']
["'[02:20:07 22/10/1994]'", 76.0, 103.0, 63.0, 134.0, 124.0, 8.0, 97.0, 'Normal']
["'[02:20:08 22/10/1994]'", 76.0, 103.0, 63.0, 134.0, 124.0, 8.0, 97.0, 'Normal']
["'[02:20:09 22/10/1994]'", 76.0, 103.0, 63.0, 133.0, 124.0, 8.0, 97.0, 'Normal']
["'[02:20:10 22/10/1994]'", 77.0, 105.0, 64.0, 133.0, 124.0, 8.0, 97.0, 'Normal']
["'[02:20:11 22/10/1994]'", 77.0, 105.0, 64.0, 133.0, 124.0, 8.0, 97.0, 'Normal']
["'[02:20:12 22/10/1994]'", 76.0, 103.0, 64.0, 133.0, 124.0, 8.0, 97.0, 'Normal']
["'[02:20:13 22/10/1994]'", 76.0, 102.0, 63.0, 135.0, 124.0, 8.0, 97.0, 'Normal']
["'[02:20:14 22/10/1994]'", 77.0, 104.0, 63.0, 135.0, 124.0, 8.0, 97.0, 'Normal']
["'[02:20:15 22/10/1994]'", 77.0, 104.0, 63.0, 135.0, 124.0, 8.0, 97.0, 'Normal']
["'[02:20:16 22/10/1994]'", 76.0, 102.0, 63.0, 135.0, 124.0, 8.0, 97.0, 'Normal']
["'[02:20:17 22/10/1994]'", 75.0, 102.0, 62.0, 135.0, 124.0, 8.0, 97.0, 'Normal']
["'[02:20:18 22/10/1994]'", 76.0, 103.0, 62.0, 135.0, 131.0, 8.0, 97.0, 'Normal']
["'[02:20:19 22/10/1994]'", 76.0, 104.0, 63.0, 135.0, 131.0, 8.0, 97.0, 'Normal']
["'[02:20:20 22/10/1994]'", 75.0, 102.0, 63.0, 135.0, 131.0, 8.0, 97.0, 'Normal']
["'[02:20:21 22/10/1994]'", 75.0, 102.0, 62.0, 136.0, 131.0, 8.0, 97.0, 'Normal']
["'[02:20:22 22/10/1994]'", 75.0, 102.0, 62.0, 136.0, 131.0, 8.0, 97.0, 'Normal']
["'[02:20:23 22/10/1994]'", 75.0, 103.0, 62.0, 136.0, 131.0, 8.0, 97.0, 'Normal']
["'[02:20:24 22/10/1994]'", 75.0, 103.0, 62.0, 136.0, 131.0, 8.0, 97.0, 'Normal']
["'[02:20:25 22/10/1994]'", 75.0, 103.0, 62.0, 136.0, 131.0, 8.0, 97.0, 'Normal']
["'[02:20:26 22/10/1994]'", 76.0, 103.0, 62.0, 136.0, 131.0, 8.0, 97.0, 'Normal']
["'[02:20:27 22/10/1994]'", 76.0, 103.0, 62.0, 135.0, 131.0, 8.0, 97.0, 'Normal']
["'[02:20:28 22/10/1994]'", 77.0, 104.0, 63.0, 135.0, 131.0, 8.0, 97.0, 'Normal']
["'[02:20:29 22/10/1994]'", 76.0, 104.0, 63.0, 135.0, 131.0, 9.0, 97.0, 'Normal']
["'[02:20:30 22/10/1994]'", 75.0, 102.0, 62.0, 135.0, 128.0, 9.0, 97.0, 'Normal']
["'[02:20:31 22/10/1994]'", 74.0, 101.0, 61.0, 135.0, 128.0, 9.0, 97.0, 'Normal']
["'[02:20:32 22/10/1994]'", 75.0, 103.0, 62.0, 135.0, 128.0, 9.0, 97.0, 'Normal']
["'[02:20:33 22/10/1994]'", 75.0, 102.0, 62.0, 133.0, 128.0, 9.0, 97.0, 'Normal']
["'[02:20:34 22/10/1994]'", 74.0, 100.0, 61.0, 133.0, 128.0, 9.0, 97.0, 'Normal']
["'[02:20:35 22/10/1994]'", 73.0, 100.0, 61.0, 132.0, 128.0, 9.0, 98.0, 'Normal']
["'[02:20:36 22/10/1994]'", 74.0, 101.0, 61.0, 132.0, 128.0, 9.0, 98.0, 'Normal']
["'[02:20:37 22/10/1994]'", 74.0, 101.0, 62.0, 132.0, 129.0, 9.0, 98.0, 'Normal']
["'[02:20:38 22/10/1994]'", 73.0, 100.0, 61.0, 132.0, 129.0, 9.0, 97.0, 'Normal']
["'[02:20:39 22/10/1994]'", 73.0, 100.0, 61.0, 133.0, 129.0, 9.0, 97.0, 'Normal']
["'[02:20:40 22/10/1994]'", 73.0, 100.0, 60.0, 133.0, 129.0, 9.0, 97.0, 'Normal']
["'[02:20:41 22/10/1994]'", 74.0, 101.0, 61.0, 133.0, 126.0, 9.0, 97.0, 'Normal']
["'[02:20:42 22/10/1994]'", 73.0, 100.0, 61.0, 133.0, 125.0, 9.0, 97.0, 'Normal']
["'[02:20:43 22/10/1994]'", 73.0, 99.0, 60.0, 133.0, 122.0, 9.0, 97.0, 'Normal']
["'[02:20:44 22/10/1994]'", 72.0, 99.0, 60.0, 133.0, 122.0, 9.0, 97.0, 'Normal']
["'[02:20:45 22/10/1994]'", 74.0, 101.0, 61.0, 133.0, 122.0, 9.0, 97.0, 'Normal']
["'[02:20:46 22/10/1994]'", 73.0, 100.0, 61.0, 133.0, 122.0, 9.0, 97.0, 'Normal']
["'[02:20:48 22/10/1994]'", 73.0, 99.0, 60.0, 133.0, 122.0, 9.0, 97.0, 'Normal']
["'[02:20:49 22/10/1994]'", 72.0, 99.0, 60.0, 133.0, 122.0, 9.0, 97.0, 'Normal']
["'[02:20:50 22/10/1994]'", 74.0, 100.0, 61.0, 133.0, 122.0, 9.0, 97.0, 'Normal']
["'[02:20:51 22/10/1994]'", 73.0, 99.0, 60.0, 133.0, 122.0, 10.0, 97.0, 'Normal']
["'[02:20:52 22/10/1994]'", 72.0, 98.0, 60.0, 133.0, 122.0, 10.0, 97.0, 'Normal']
["'[02:20:53 22/10/1994]'", 72.0, 98.0, 59.0, 133.0, 122.0, 10.0, 97.0, 'Normal']
["'[02:20:54 22/10/1994]'", 73.0, 99.0, 60.0, 133.0, 122.0, 10.0, 97.0, 'Normal']
["'[02:20:55 22/10/1994]'", 73.0, 100.0, 61.0, 133.0, 122.0, 11.0, 97.0, 'Normal']
["'[02:20:56 22/10/1994]'", 73.0, 99.0, 60.0, 133.0, 122.0, 11.0, 97.0, 'Normal']
["'[02:20:57 22/10/1994]'", 72.0, 98.0, 59.0, 133.0, 116.0, 11.0, 97.0, 'Normal']
["'[02:20:58 22/10/1994]'", 72.0, 98.0, 59.0, 134.0, 116.0, 11.0, 97.0, 'Normal']
["'[02:20:59 22/10/1994]'", 73.0, 99.0, 60.0, 134.0, 113.0, 11.0, 97.0, 'Normal']
["'[02:21:00 22/10/1994]'", 73.0, 99.0, 60.0, 134.0, 110.0, 11.0, 97.0, 'Normal']
["'[02:21:01 22/10/1994]'", 72.0, 98.0, 60.0, 133.0, 110.0, 11.0, 97.0, 'Normal']
["'[02:21:02 22/10/1994]'", 72.0, 98.0, 59.0, 133.0, 108.0, 11.0, 97.0, 'Normal']
["'[02:21:03 22/10/1994]'", 72.0, 98.0, 59.0, 133.0, 108.0, 11.0, 97.0, 'Normal']
["'[02:21:04 22/10/1994]'", 73.0, 100.0, 60.0, 133.0, 123.0, 11.0, 97.0, 'Normal']
["'[02:21:05 22/10/1994]'", 72.0, 99.0, 60.0, 133.0, 126.0, 11.0, 97.0, 'Normal']
["'[02:21:06 22/10/1994]'", 71.0, 98.0, 59.0, 133.0, 126.0, 11.0, 97.0, 'Normal']
["'[02:21:07 22/10/1994]'", 71.0, 97.0, 59.0, 134.0, 129.0, 11.0, 97.0, 'Normal']
["'[02:21:08 22/10/1994]'", 72.0, 99.0, 59.0, 134.0, 130.0, 11.0, 97.0, 'Normal']
["'[02:21:09 22/10/1994]'", 72.0, 99.0, 59.0, 134.0, 130.0, 11.0, 97.0, 'Normal']
["'[02:21:10 22/10/1994]'", 72.0, 98.0, 59.0, 134.0, 130.0, 11.0, 97.0, 'Normal']
["'[02:21:11 22/10/1994]'", 71.0, 97.0, 59.0, 134.0, 130.0, 11.0, 97.0, 'Normal']
["'[02:21:12 22/10/1994]'", 72.0, 98.0, 59.0, 134.0, 130.0, 11.0, 97.0, 'Normal']
["'[02:21:13 22/10/1994]'", 73.0, 99.0, 59.0, 134.0, 130.0, 10.0, 97.0, 'Normal']
["'[02:21:14 22/10/1994]'", 72.0, 99.0, 60.0, 134.0, 128.0, 9.0, 97.0, 'Normal']
["'[02:21:15 22/10/1994]'", 72.0, 98.0, 59.0, 134.0, 128.0, 8.0, 97.0, 'Normal']
["'[02:21:16 22/10/1994]'", 71.0, 97.0, 59.0, 134.0, 128.0, 7.0, 97.0, 'Normal']
["'[02:21:17 22/10/1994]'", 73.0, 99.0, 59.0, 134.0, 128.0, 6.0, 97.0, 'Normal']
["'[02:21:18 22/10/1994]'", 73.0, 99.0, 60.0, 134.0, 128.0, 10.0, 97.0, 'Normal']
["'[02:21:19 22/10/1994]'", 72.0, 98.0, 60.0, 134.0, 128.0, 10.0, 97.0, 'Normal']
["'[02:21:20 22/10/1994]'", 72.0, 98.0, 59.0, 134.0, 128.0, 10.0, 97.0, 'Normal']
["'[02:21:21 22/10/1994]'", 73.0, 99.0, 60.0, 134.0, 126.0, 10.0, 97.0, 'Normal']
["'[02:21:22 22/10/1994]'", 73.0, 99.0, 61.0, 134.0, 126.0, 10.0, 97.0, 'Normal']
["'[02:21:23 22/10/1994]'", 73.0, 99.0, 60.0, 135.0, 122.0, 10.0, 97.0, 'Normal']
["'[02:21:24 22/10/1994]'", 73.0, 99.0, 60.0, 135.0, 122.0, 10.0, 97.0, 'Normal']
["'[02:21:25 22/10/1994]'", 73.0, 99.0, 60.0, 135.0, 122.0, 10.0, 97.0, 'Normal']
["'[02:21:26 22/10/1994]'", 74.0, 101.0, 61.0, 135.0, 124.0, 10.0, 97.0, 'Normal']
["'[02:21:27 22/10/1994]'", 74.0, 100.0, 61.0, 135.0, 129.0, 10.0, 97.0, 'Normal']
["'[02:21:28 22/10/1994]'", 74.0, 99.0, 61.0, 136.0, 129.0, 10.0, 97.0, 'Normal']
["'[02:21:29 22/10/1994]'", 73.0, 100.0, 61.0, 136.0, 131.0, 10.0, 97.0, 'Normal']
